"cond","NullDist"
"MLETSL",2.42162205838672
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",3.82235393578219
"MLETSL",0
"MLETSL",0
"MLETSL",2.42162205838672
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.37721744707918
"MLETSL",-3.80319414627832
"MLETSL",0
"MLETSL",-3.08269265610051
"MLETSL",-2.7116307227332
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.53546276418555
"MLETSL",0
"MLETSL",2.28101150399642
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",2.28101150399642
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.53546276418555
"MLETSL",0
"MLETSL",-2.5666061955283
"MLETSL",2.59586977680554
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.86038776773678
"MLETSL",-2.37721744707918
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",3.82235393578219
"MLETSL",-2.42162205838672
"MLETSL",0
"MLETSL",0
"MLETSL",3.0251050401931
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.64109739134701
"MLETSL",0
"MLETSL",-2.53546276418555
"MLETSL",2.7116307227332
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",2.35151370923894
"MLETSL",-3.80319414627832
"MLETSL",-2.35151370923894
"MLETSL",0
"MLETSL",-3.35294117647059
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",2.7116307227332
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.68421052631579
"MLETSL",-3.72677996249965
"MLETSL",0
"MLETSL",3.82235393578219
"MLETSL",3.23076923076923
"MLETSL",0
"MLETSL",0
"MLETSL",-2.31046213864622
"MLETSL",2.28101150399642
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",-2.37721744707918
"MLETSL",3.15053485841688
"MLETSL",0
"MLETSL",2.68421052631579
"MLETSL",3.0251050401931
"MLETSL",-2.31046213864622
"MLETSL",0
"MLETSL",0
"MLETSL",-3.15053485841688
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",3.67423461417477
"MLETSL",0
"MLETSL",0
"MLETSL",-3.79628301182648
"MLETSL",0
"MLETSL",0
"MLETSL",4.43129367525598
"MLETSL",-2.42467157736146
"MLETSL",0
"MLETSL",0
"MLETSL",2.42162205838672
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",2.42162205838672
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",0
"MLETSL",2.56660619552831
"MLETSL",0
"MLETSL",0
"MLETSL",-2.53546276418555
"MLETSL",2.89918054170676
"MLETSL",0
"MLETSL",2.86038776773678
"MLETSL",2.68421052631579
"MLETSL",0
"MLETSL",0
"MLETSL",-2.53546276418555
